(1, 1, 1)
(2, 2, 1)
(4, 3, 1)
(8, 4, 1)
(16, 5, 1)
(32, 6, 1)
(64, 7, 1)
(128, 8, 1)
(256, 9, 1)
(512, 10, 1)
(1024, 11, 1)
(1025, 11, 2)
(513, 10, 2)
(1026, 11, 3)
(1027, 11, 4)
(257, 9, 2)
(514, 10, 3)
(1028, 11, 5)
(1029, 11, 6)
(515, 10, 4)
(1030, 11, 7)
(1031, 11, 8)
(129, 8, 2)
(258, 9, 3)
(516, 10, 5)
(1032, 11, 9)
(1033, 11, 10)
(517, 10, 6)
(1034, 11, 11)
(1035, 11, 12)
(259, 9, 4)
(518, 10, 7)
(1036, 11, 13)
(1037, 11, 14)
(519, 10, 8)
(1038, 11, 15)
(1039, 11, 16)
(65, 7, 2)
(130, 8, 3)
(260, 9, 5)
(520, 10, 9)
(1040, 11, 17)
(1041, 11, 18)
(521, 10, 10)
(1042, 11, 19)
(1043, 11, 20)
(261, 9, 6)
(522, 10, 11)
(1044, 11, 21)
(1045, 11, 22)
(523, 10, 12)
(1046, 11, 23)
(1047, 11, 24)
(131, 8, 4)
(262, 9, 7)
(524, 10, 13)
(1048, 11, 25)
(1049, 11, 26)
(525, 10, 14)
(1050, 11, 27)
(1051, 11, 28)
(263, 9, 8)
(526, 10, 15)
(1052, 11, 29)
(1053, 11, 30)
(527, 10, 16)
(1054, 11, 31)
(1055, 11, 32)
(33, 6, 2)
(66, 7, 3)
(132, 8, 5)
(264, 9, 9)
(528, 10, 17)
(1056, 11, 33)
(1057, 11, 34)
(529, 10, 18)
(1058, 11, 35)
(1059, 11, 36)
(265, 9, 10)
(530, 10, 19)
(1060, 11, 37)
(1061, 11, 38)
(531, 10, 20)
(1062, 11, 39)
(1063, 11, 40)
(133, 8, 6)
(266, 9, 11)
(532, 10, 21)
(1064, 11, 41)
(1065, 11, 42)
(533, 10, 22)
(1066, 11, 43)
(1067, 11, 44)
(267, 9, 12)
(534, 10, 23)
(1068, 11, 45)
(1069, 11, 46)
(535, 10, 24)
(1070, 11, 47)
(1071, 11, 48)
(67, 7, 4)
(134, 8, 7)
(268, 9, 13)
(536, 10, 25)
(1072, 11, 49)
(1073, 11, 50)
(537, 10, 26)
(1074, 11, 51)
(1075, 11, 52)
(269, 9, 14)
(538, 10, 27)
(1076, 11, 53)
(1077, 11, 54)
(539, 10, 28)
(1078, 11, 55)
(1079, 11, 56)
(135, 8, 8)
(270, 9, 15)
(540, 10, 29)
(1080, 11, 57)
(1081, 11, 58)
(541, 10, 30)
(1082, 11, 59)
(1083, 11, 60)
(271, 9, 16)
(542, 10, 31)
(1084, 11, 61)
(1085, 11, 62)
(543, 10, 32)
(1086, 11, 63)
(1087, 11, 64)
(17, 5, 2)
(34, 6, 3)
(68, 7, 5)
(136, 8, 9)
(272, 9, 17)
(544, 10, 33)
(1088, 11, 65)
(1089, 11, 66)
(545, 10, 34)
(1090, 11, 67)
(1091, 11, 68)
(273, 9, 18)
(546, 10, 35)
(1092, 11, 69)
(1093, 11, 70)
(547, 10, 36)
(1094, 11, 71)
(1095, 11, 72)
(137, 8, 10)
(274, 9, 19)
(548, 10, 37)
(1096, 11, 73)
(1097, 11, 74)
(549, 10, 38)
(1098, 11, 75)
(1099, 11, 76)
(275, 9, 20)
(550, 10, 39)
(1100, 11, 77)
(1101, 11, 78)
(551, 10, 40)
(1102, 11, 79)
(1103, 11, 80)
(69, 7, 6)
(138, 8, 11)
(276, 9, 21)
(552, 10, 41)
(1104, 11, 81)
(1105, 11, 82)
(553, 10, 42)
(1106, 11, 83)
(1107, 11, 84)
(277, 9, 22)
(554, 10, 43)
(1108, 11, 85)
(1109, 11, 86)
(555, 10, 44)
(1110, 11, 87)
(1111, 11, 88)
(139, 8, 12)
(278, 9, 23)
(556, 10, 45)
(1112, 11, 89)
(1113, 11, 90)
(557, 10, 46)
(1114, 11, 91)
(1115, 11, 92)
(279, 9, 24)
(558, 10, 47)
(1116, 11, 93)
(1117, 11, 94)
(559, 10, 48)
(1118, 11, 95)
(1119, 11, 96)
(35, 6, 4)
(70, 7, 7)
(140, 8, 13)
(280, 9, 25)
(560, 10, 49)
(1120, 11, 97)
(1121, 11, 98)
(561, 10, 50)
(1122, 11, 99)
(1123, 11, 100)
(281, 9, 26)
(562, 10, 51)
(1124, 11, 101)
(1125, 11, 102)
(563, 10, 52)
(1126, 11, 103)
(1127, 11, 104)
(141, 8, 14)
(282, 9, 27)
(564, 10, 53)
(1128, 11, 105)
(1129, 11, 106)
(565, 10, 54)
(1130, 11, 107)
(1131, 11, 108)
(283, 9, 28)
(566, 10, 55)
(1132, 11, 109)
(1133, 11, 110)
(567, 10, 56)
(1134, 11, 111)
(1135, 11, 112)
(71, 7, 8)
(142, 8, 15)
(284, 9, 29)
(568, 10, 57)
(1136, 11, 113)
